id,latitude,longitude,date_M_D_YYYY,date_M_D_YYYY_00_00_00,date_YYYY-MM-DD,date_YYYY-MM-DD_00_00_00,date_YYYY-MM-DDT00_00_00,date_YYYY-MM-DDT00_00_00Z,date_YYYY-MM-DDT00_00_00_America_LosAngeles,date_YYYY-MM-DDT00_00_00_America_NewYork,str_yyyy,str_yyyy-MM,str_yyyy-MM-dd,str1_yyyy-MM-dd_HH-mm-ss,int_yyyy,int_yyyyMM,int_yyyyMMdd,dbl1_yyyyMMddHHmmss,dbl2_yyyyMMddHHmmss,dbl_yyyyMMddHHmmssS,day,month,month_str_1,year,weekday,weekday_str,week_number,day365,isfeb29,DST,DST_switch,DST_adjust
44,6.375,7.375,2/13/2022,2/13/2022 00:00:00,2022-02-13,2022-02-13 00:00:00,2022-02-13T00:00:00,2022-02-13T00:00:00Z,2022-02-13T00:00:00-08:00,2022-02-13T00:00:00-05:00,2022,2022-02,2022-02-13,2022-02-13 00:00:00,2022,202202,20220213,20220213000000,20220213235959,20220213235959.5,13,2,Feb,2022,1,Sunday,8,44,0,0,0,0
45,6.5,7.5,2/14/2022,2/14/2022 00:00:00,2022-02-14,2022-02-14 00:00:00,2022-02-14T00:00:00,2022-02-14T00:00:00Z,2022-02-14T00:00:00-08:00,2022-02-14T00:00:00-05:00,2022,2022-02,2022-02-14,2022-02-14 00:00:00,2022,202202,20220214,20220214000000,20220214235959,20220214235959.5,14,2,Feb,2022,2,Monday,8,45,0,0,0,0
46,6.625,7.625,2/15/2022,2/15/2022 00:00:00,2022-02-15,2022-02-15 00:00:00,2022-02-15T00:00:00,2022-02-15T00:00:00Z,2022-02-15T00:00:00-08:00,2022-02-15T00:00:00-05:00,2022,2022-02,2022-02-15,2022-02-15 00:00:00,2022,202202,20220215,20220215000000,20220215235959,20220215235959.5,15,2,Feb,2022,3,Tuesday,8,46,0,0,0,0
47,6.75,7.75,2/16/2022,2/16/2022 00:00:00,2022-02-16,2022-02-16 00:00:00,2022-02-16T00:00:00,2022-02-16T00:00:00Z,2022-02-16T00:00:00-08:00,2022-02-16T00:00:00-05:00,2022,2022-02,2022-02-16,2022-02-16 00:00:00,2022,202202,20220216,20220216000000,20220216235959,20220216235959.5,16,2,Feb,2022,4,Wednesday,8,47,0,0,0,0
48,6.875,7.875,2/17/2022,2/17/2022 00:00:00,2022-02-17,2022-02-17 00:00:00,2022-02-17T00:00:00,2022-02-17T00:00:00Z,2022-02-17T00:00:00-08:00,2022-02-17T00:00:00-05:00,2022,2022-02,2022-02-17,2022-02-17 00:00:00,2022,202202,20220217,20220217000000,20220217235959,20220217235959.5,17,2,Feb,2022,5,Thursday,8,48,0,0,0,0
49,7,8,2/18/2022,2/18/2022 00:00:00,2022-02-18,2022-02-18 00:00:00,2022-02-18T00:00:00,2022-02-18T00:00:00Z,2022-02-18T00:00:00-08:00,2022-02-18T00:00:00-05:00,2022,2022-02,2022-02-18,2022-02-18 00:00:00,2022,202202,20220218,20220218000000,20220218235959,20220218235959.5,18,2,Feb,2022,6,Friday,8,49,0,0,0,0
50,7.125,8.125,2/19/2022,2/19/2022 00:00:00,2022-02-19,2022-02-19 00:00:00,2022-02-19T00:00:00,2022-02-19T00:00:00Z,2022-02-19T00:00:00-08:00,2022-02-19T00:00:00-05:00,2022,2022-02,2022-02-19,2022-02-19 00:00:00,2022,202202,20220219,20220219000000,20220219235959,20220219235959.5,19,2,Feb,2022,7,Saturday,8,50,0,0,0,0
51,7.375,8.25,2/20/2022,2/20/2022 00:00:00,2022-02-20,2022-02-20 00:00:00,2022-02-20T00:00:00,2022-02-20T00:00:00Z,2022-02-20T00:00:00-08:00,2022-02-20T00:00:00-05:00,2022,2022-02,2022-02-20,2022-02-20 00:00:00,2022,202202,20220220,20220220000000,20220220235959,20220220235959.5,20,2,Feb,2022,1,Sunday,9,51,0,0,0,0
52,7.5,8.375,2/21/2022,2/21/2022 00:00:00,2022-02-21,2022-02-21 00:00:00,2022-02-21T00:00:00,2022-02-21T00:00:00Z,2022-02-21T00:00:00-08:00,2022-02-21T00:00:00-05:00,2022,2022-02,2022-02-21,2022-02-21 00:00:00,2022,202202,20220221,20220221000000,20220221235959,20220221235959.5,21,2,Feb,2022,2,Monday,9,52,0,0,0,0
53,7.625,8.5,2/22/2022,2/22/2022 00:00:00,2022-02-22,2022-02-22 00:00:00,2022-02-22T00:00:00,2022-02-22T00:00:00Z,2022-02-22T00:00:00-08:00,2022-02-22T00:00:00-05:00,2022,2022-02,2022-02-22,2022-02-22 00:00:00,2022,202202,20220222,20220222000000,20220222235959,20220222235959.5,22,2,Feb,2022,3,Tuesday,9,53,0,0,0,0
54,7.75,8.625,2/23/2022,2/23/2022 00:00:00,2022-02-23,2022-02-23 00:00:00,2022-02-23T00:00:00,2022-02-23T00:00:00Z,2022-02-23T00:00:00-08:00,2022-02-23T00:00:00-05:00,2022,2022-02,2022-02-23,2022-02-23 00:00:00,2022,202202,20220223,20220223000000,20220223235959,20220223235959.5,23,2,Feb,2022,4,Wednesday,9,54,0,0,0,0
55,7.875,8.75,2/24/2022,2/24/2022 00:00:00,2022-02-24,2022-02-24 00:00:00,2022-02-24T00:00:00,2022-02-24T00:00:00Z,2022-02-24T00:00:00-08:00,2022-02-24T00:00:00-05:00,2022,2022-02,2022-02-24,2022-02-24 00:00:00,2022,202202,20220224,20220224000000,20220224235959,20220224235959.5,24,2,Feb,2022,5,Thursday,9,55,0,0,0,0
56,8,8.875,2/25/2022,2/25/2022 00:00:00,2022-02-25,2022-02-25 00:00:00,2022-02-25T00:00:00,2022-02-25T00:00:00Z,2022-02-25T00:00:00-08:00,2022-02-25T00:00:00-05:00,2022,2022-02,2022-02-25,2022-02-25 00:00:00,2022,202202,20220225,20220225000000,20220225235959,20220225235959.5,25,2,Feb,2022,6,Friday,9,56,0,0,0,0
57,8.125,9,2/26/2022,2/26/2022 00:00:00,2022-02-26,2022-02-26 00:00:00,2022-02-26T00:00:00,2022-02-26T00:00:00Z,2022-02-26T00:00:00-08:00,2022-02-26T00:00:00-05:00,2022,2022-02,2022-02-26,2022-02-26 00:00:00,2022,202202,20220226,20220226000000,20220226235959,20220226235959.5,26,2,Feb,2022,7,Saturday,9,57,0,0,0,0
58,8.375,9.125,2/27/2022,2/27/2022 00:00:00,2022-02-27,2022-02-27 00:00:00,2022-02-27T00:00:00,2022-02-27T00:00:00Z,2022-02-27T00:00:00-08:00,2022-02-27T00:00:00-05:00,2022,2022-02,2022-02-27,2022-02-27 00:00:00,2022,202202,20220227,20220227000000,20220227235959,20220227235959.5,27,2,Feb,2022,1,Sunday,10,58,0,0,0,0
59,8.5,9.25,2/28/2022,2/28/2022 00:00:00,2022-02-28,2022-02-28 00:00:00,2022-02-28T00:00:00,2022-02-28T00:00:00Z,2022-02-28T00:00:00-08:00,2022-02-28T00:00:00-05:00,2022,2022-02,2022-02-28,2022-02-28 00:00:00,2022,202202,20220228,20220228000000,20220228235959,20220228235959.5,28,2,Feb,2022,2,Monday,10,59,0,0,0,0
60,8.625,10.375,3/1/2022,3/1/2022 00:00:00,2022-03-01,2022-03-01 00:00:00,2022-03-01T00:00:00,2022-03-01T00:00:00Z,2022-03-01T00:00:00-08:00,2022-03-01T00:00:00-05:00,2022,2022-03,2022-03-01,2022-03-01 00:00:00,2022,202203,20220301,20220301000000,20220301235959,20220301235959.5,1,3,Mar,2022,3,Tuesday,10,60,0,0,0,0
61,8.75,10.5,3/2/2022,3/2/2022 00:00:00,2022-03-02,2022-03-02 00:00:00,2022-03-02T00:00:00,2022-03-02T00:00:00Z,2022-03-02T00:00:00-08:00,2022-03-02T00:00:00-05:00,2022,2022-03,2022-03-02,2022-03-02 00:00:00,2022,202203,20220302,20220302000000,20220302235959,20220302235959.5,2,3,Mar,2022,4,Wednesday,10,61,0,0,0,0
62,8.875,10.625,3/3/2022,3/3/2022 00:00:00,2022-03-03,2022-03-03 00:00:00,2022-03-03T00:00:00,2022-03-03T00:00:00Z,2022-03-03T00:00:00-08:00,2022-03-03T00:00:00-05:00,2022,2022-03,2022-03-03,2022-03-03 00:00:00,2022,202203,20220303,20220303000000,20220303235959,20220303235959.5,3,3,Mar,2022,5,Thursday,10,62,0,0,0,0
63,9,10.75,3/4/2022,3/4/2022 00:00:00,2022-03-04,2022-03-04 00:00:00,2022-03-04T00:00:00,2022-03-04T00:00:00Z,2022-03-04T00:00:00-08:00,2022-03-04T00:00:00-05:00,2022,2022-03,2022-03-04,2022-03-04 00:00:00,2022,202203,20220304,20220304000000,20220304235959,20220304235959.5,4,3,Mar,2022,6,Friday,10,63,0,0,0,0
64,9.125,10.875,3/5/2022,3/5/2022 00:00:00,2022-03-05,2022-03-05 00:00:00,2022-03-05T00:00:00,2022-03-05T00:00:00Z,2022-03-05T00:00:00-08:00,2022-03-05T00:00:00-05:00,2022,2022-03,2022-03-05,2022-03-05 00:00:00,2022,202203,20220305,20220305000000,20220305235959,20220305235959.5,5,3,Mar,2022,7,Saturday,10,64,0,0,0,0
65,9.375,11,3/6/2022,3/6/2022 00:00:00,2022-03-06,2022-03-06 00:00:00,2022-03-06T00:00:00,2022-03-06T00:00:00Z,2022-03-06T00:00:00-08:00,2022-03-06T00:00:00-05:00,2022,2022-03,2022-03-06,2022-03-06 00:00:00,2022,202203,20220306,20220306000000,20220306235959,20220306235959.5,6,3,Mar,2022,1,Sunday,11,65,0,0,0,0
66,9.5,11.125,3/7/2022,3/7/2022 00:00:00,2022-03-07,2022-03-07 00:00:00,2022-03-07T00:00:00,2022-03-07T00:00:00Z,2022-03-07T00:00:00-08:00,2022-03-07T00:00:00-05:00,2022,2022-03,2022-03-07,2022-03-07 00:00:00,2022,202203,20220307,20220307000000,20220307235959,20220307235959.5,7,3,Mar,2022,2,Monday,11,66,0,0,0,0
